aX,aY,aZ,gX,gY,gZ
0.022,-0.032,-1.606,48.02,-46.06,-51.45
0.023,-0.125,-1.628,41.93,-40.95,-59.29
0.044,-0.16,-1.619,30.87,-32.69,-69.44
0.089,-0.159,-1.52,20.79,-16.31,-78.05
0.159,-0.144,-1.399,12.53,-1.82,-83.09
0.25,-0.112,-1.243,9.17,9.87,-83.93
0.332,-0.087,-1.072,9.73,15.05,-80.78
0.383,-0.056,-0.92,15.96,13.51,-66.22
0.427,-0.059,-0.818,25.13,4.13,-46.83
0.409,-0.055,-0.824,34.58,-8.47,-22.75
0.411,-0.122,-0.863,35.35,-22.54,-1.26
-0.929,-1.044,0.784,-35.35,74.34,63.28
-1.238,-1.205,1.138,-39.41,74.83,56.21
-1.261,-1.276,1.286,-33.95,87.43,66.57
-1.452,-1.247,1.328,-23.66,111.37,105.14
-1.512,-1.246,1.358,-23.03,130.41,179.76
-1.338,-1.309,1.467,-11.9,115.08,284.9
-1.133,-1.593,1.487,18.69,64.96,397.18
-0.858,-2.049,1.269,87.92,0.63,507.85
-0.505,-2.852,0.777,134.75,-40.67,519.75
-0.141,-3.565,0.119,158.2,-26.32,449.12
0.328,-4.023,-0.568,135.17,51.03,311.36
0.838,-3.91,-0.883,77.56,161.42,158.76
1.328,-3.644,-0.716,45.64,241.15,18.27
1.748,-3.21,-0.212,34.58,263.27,-88.34
1.962,-2.644,0.246,33.88,236.53,-154.0
1.797,-2.092,0.707,23.52,175.0,-189.84
1.493,-1.54,0.8,3.92,60.97,-194.04
1.061,-1.009,0.712,-9.03,-25.76,-164.22
0.644,-0.655,0.476,-6.72,-93.8,-113.33
0.243,-0.543,0.159,0.42,-136.99,-64.4
-0.073,-0.721,-0.141,8.12,-155.4,-31.01
-0.347,-0.779,-0.422,16.66,-153.37,-29.75
-0.514,-0.888,-0.67,20.09,-129.71,-35.98
-0.68,-0.961,-0.875,16.1,-88.48,-42.56
-0.716,-0.983,-0.958,2.17,-28.49,-45.57
-0.579,-0.983,-0.843,-7.14,-1.89,-45.78
-0.429,-0.989,-0.665,-13.09,8.82,-44.24
-0.282,-0.938,-0.504,-20.58,11.2,-40.18
-0.14,-0.874,-0.382,-23.17,8.05,-36.19
-0.042,-0.84,-0.291,-21.7,2.66,-34.65
0.067,-0.83,-0.228,-15.75,-2.87,-33.95
0.131,-0.845,-0.218,-5.81,-5.95,-32.97
0.181,-0.897,-0.228,6.58,-6.58,-31.78
0.205,-0.977,-0.279,35.7,-3.22,-28.21
0.26,-1.073,-0.298,25.27,0.98,-26.67
0.273,-1.232,-0.294,24.08,3.36,-29.26
0.292,-1.341,-0.284,17.29,4.13,-34.65
0.352,-1.383,-0.239,10.85,-0.63,-40.95
0.363,-1.403,-0.191,8.54,-9.31,-49.42
0.324,-1.407,-0.152,7.14,-15.19,-60.55
0.302,-1.379,-0.121,5.32,-16.31,-69.3
0.254,-1.34,-0.113,2.45,-16.38,-74.34
0.218,-1.288,-0.1,-2.1,-16.94,-76.23
0.193,-1.256,-0.045,-6.3,-19.67,-74.06
0.142,-1.247,-0.008,-8.47,-21.7,-68.67
0.117,-1.223,0.025,-10.92,-22.12,-62.09
0.125,-1.232,0.103,-12.46,-25.2,-58.1
0.128,-1.261,0.194,-12.32,-37.87,-57.12
0.128,-1.289,0.218,-12.25,-48.09,-56.28
0.009,-1.34,0.142,-13.3,-49.98,-52.29
-0.047,-1.374,0.064,-17.78,-44.94,-49.21
0.022,-1.409,0.039,-26.32,-44.24,-56.56
0.071,-1.468,0.06,-35.21,-53.34,-68.39
0.082,-1.481,0.045,-44.52,-64.75,-80.78
0.041,-1.408,-0.004,-54.95,-70.21,-89.11
-0.012,-1.347,0.036,-68.32,-70.7,-96.39
-0.075,-1.282,0.098,-77.14,-70.84,-98.91
-0.105,-1.186,0.143,-83.3,-73.01,-98.0
-0.135,-1.109,0.182,-85.33,-75.81,-95.69
-0.137,-1.047,0.191,-82.39,-78.12,-96.11
-0.126,-0.992,0.142,-74.62,-79.87,-98.35
-0.047,-0.898,0.032,-66.99,-78.75,-98.91
-0.023,-0.851,-0.013,-61.88,-77.63,-99.68
0.031,-0.835,-0.069,-57.47,-76.93,-99.05
0.081,-0.811,-0.077,-60.83,-77.42,-96.46
0.16,-0.91,-0.059,-69.65,-85.19,-96.53
0.271,-0.892,-0.12,-80.43,-95.69,-101.99
0.237,-0.85,-0.187,-93.24,-101.36,-109.76
0.158,-0.845,-0.227,-101.29,-100.8,-116.62
0.11,-0.795,-0.327,-99.96,-96.67,-125.79
0.103,-0.695,-0.415,-94.36,-90.72,-133.77
0.082,-0.598,-0.485,-88.83,-87.71,-138.32
0.113,-0.527,-0.551,-82.53,-89.18,-139.79
0.13,-0.457,-0.613,-80.92,-91.49,-138.74
0.146,-0.411,-0.635,-82.6,-93.17,-137.83
0.167,-0.387,-0.671,-83.79,-97.72,-140.07
0.217,-0.313,-0.718,-87.78,-101.36,-145.04
0.217,-0.217,-0.729,-92.12,-99.89,-149.66
0.168,-0.176,-0.787,-72.24,-92.4,-157.22
0.133,-0.066,-0.88,-76.65,-81.9,-164.71
0.108,0.033,-0.974,-65.94,-70.35,-171.36
0.09,0.111,-1.047,-53.97,-58.52,-174.3
0.057,0.171,-1.139,-41.02,-45.29,-171.15
0.072,0.216,-1.189,-27.09,-38.92,-163.17
0.038,0.237,-1.254,-14.42,-34.51,-152.04
0.002,0.256,-1.326,-5.74,-29.54,-140.56
0.005,0.264,-1.378,16.94,-25.97,-125.72
0.031,0.249,-1.392,4.83,-24.64,-116.2
0.058,0.215,-1.419,10.15,-24.57,-111.3
0.051,0.168,-1.459,15.54,-25.2,-110.6
0.051,0.106,-1.49,22.75,-28.0,-112.56
0.034,0.045,-1.514,33.11,-34.02,-115.85
0.027,0.005,-1.546,42.07,-40.67,-119.77
0.025,-0.021,-1.54,44.52,-46.76,-121.94
0.026,-0.036,-1.502,42.84,-48.79,-118.16
0.046,-0.037,-1.466,38.5,-48.58,-108.01
0.061,-0.031,-1.439,31.78,-43.47,-91.7
0.078,-0.018,-1.433,19.04,-30.38,-61.39
0.13,-0.025,-1.382,6.93,-13.93,-37.1
