aX,aY,aZ,gX,gY,gZ
0.914,-1.358,0.761,103.6,-13.02,-27.58
0.903,-1.281,0.86,83.09,-24.71,-36.26
0.935,-1.343,0.804,81.97,-31.36,-45.22
0.926,-1.327,0.787,85.61,-33.74,-55.86
0.87,-1.2,0.828,94.15,-36.05,-56.0
0.8,-1.056,0.878,105.28,-39.2,-48.02
0.773,-0.982,0.971,105.42,-43.05,-42.35
0.746,-1.081,0.988,110.81,-47.95,-44.66
0.787,-1.032,1.205,112.42,-68.18,-46.2
0.784,-1.128,1.304,86.03,-87.22,-53.13
0.751,-1.148,1.355,80.78,-108.57,-60.34
0.746,-1.136,1.3,83.23,-129.01,-65.03
0.723,-1.162,1.184,105.21,-144.55,-69.79
0.698,-1.24,1.121,106.61,-153.65,-75.67
0.708,-1.206,1.005,112.98,-158.06,-85.47
0.727,-1.206,0.921,110.88,-160.37,-99.05
0.645,-1.466,-0.117,55.16,-136.71,-125.44
0.665,-0.64,1.622,86.8,-184.52,-101.08
0.544,-1.009,0.527,103.74,-173.81,-104.86
0.596,-0.876,0.9,115.29,-181.09,-102.27
0.543,-1.06,0.49,47.6,-134.05,-123.9
0.522,-0.796,1.537,19.81,-145.04,-133.91
0.538,-0.935,0.69,-10.01,-122.85,-140.07
0.536,-0.654,1.09,-64.68,-113.12,-122.57
0.607,-0.651,-0.396,74.97,-52.85,-124.81
0.634,-0.926,0.929,116.27,-60.76,-133.91
0.444,-1.108,1.367,112.56,-97.23,-153.37
0.424,-0.991,1.776,182.63,-158.83,-165.06
0.358,-0.773,1.282,91.98,-192.92,-162.54
0.259,-0.751,0.58,118.02,-183.12,-169.47
0.244,-0.778,0.785,128.94,-187.67,-176.89
0.217,-0.555,0.778,113.19,-197.96,-177.38
0.186,-0.661,0.566,114.17,-199.57,-184.1
0.178,-0.394,0.436,132.72,-196.28,-180.11
0.082,-0.397,0.535,128.1,-202.93,-178.5
0.053,-0.371,0.422,114.17,-207.06,-179.97
0.067,-0.361,0.233,117.81,-202.65,-183.12
0.012,-0.322,0.229,129.01,-199.08,-184.17
